DDI-MedLine.d180.s1|DDI-MedLine.d180.s1.e0|DDI-MedLine.d180.s1.e1|null
DDI-DrugBank.d318.s12|DDI-DrugBank.d318.s12.e0|DDI-DrugBank.d318.s12.e2|null
DDI-DrugBank.d318.s12|DDI-DrugBank.d318.s12.e0|DDI-DrugBank.d318.s12.e3|null
DDI-DrugBank.d318.s12|DDI-DrugBank.d318.s12.e1|DDI-DrugBank.d318.s12.e2|null
DDI-DrugBank.d318.s12|DDI-DrugBank.d318.s12.e1|DDI-DrugBank.d318.s12.e3|null
DDI-DrugBank.d318.s12|DDI-DrugBank.d318.s12.e2|DDI-DrugBank.d318.s12.e3|null
DDI-DrugBank.d318.s14|DDI-DrugBank.d318.s14.e0|DDI-DrugBank.d318.s14.e1|null
DDI-DrugBank.d318.s14|DDI-DrugBank.d318.s14.e0|DDI-DrugBank.d318.s14.e2|null
DDI-DrugBank.d318.s14|DDI-DrugBank.d318.s14.e1|DDI-DrugBank.d318.s14.e2|null
DDI-DrugBank.d766.s0|DDI-DrugBank.d766.s0.e0|DDI-DrugBank.d766.s0.e1|null
DDI-DrugBank.d766.s1|DDI-DrugBank.d766.s1.e0|DDI-DrugBank.d766.s1.e1|null
DDI-DrugBank.d766.s1|DDI-DrugBank.d766.s1.e0|DDI-DrugBank.d766.s1.e2|null
DDI-DrugBank.d766.s1|DDI-DrugBank.d766.s1.e0|DDI-DrugBank.d766.s1.e3|null
DDI-DrugBank.d766.s1|DDI-DrugBank.d766.s1.e0|DDI-DrugBank.d766.s1.e4|null
DDI-DrugBank.d766.s1|DDI-DrugBank.d766.s1.e0|DDI-DrugBank.d766.s1.e5|null
DDI-DrugBank.d766.s1|DDI-DrugBank.d766.s1.e1|DDI-DrugBank.d766.s1.e2|null
DDI-DrugBank.d766.s1|DDI-DrugBank.d766.s1.e1|DDI-DrugBank.d766.s1.e3|null
DDI-DrugBank.d766.s1|DDI-DrugBank.d766.s1.e1|DDI-DrugBank.d766.s1.e4|null
DDI-DrugBank.d766.s1|DDI-DrugBank.d766.s1.e1|DDI-DrugBank.d766.s1.e5|null
DDI-DrugBank.d766.s1|DDI-DrugBank.d766.s1.e2|DDI-DrugBank.d766.s1.e3|null
DDI-DrugBank.d766.s1|DDI-DrugBank.d766.s1.e2|DDI-DrugBank.d766.s1.e4|null
DDI-DrugBank.d766.s1|DDI-DrugBank.d766.s1.e2|DDI-DrugBank.d766.s1.e5|null
DDI-DrugBank.d766.s1|DDI-DrugBank.d766.s1.e3|DDI-DrugBank.d766.s1.e4|null
DDI-DrugBank.d766.s1|DDI-DrugBank.d766.s1.e3|DDI-DrugBank.d766.s1.e5|null
DDI-DrugBank.d766.s1|DDI-DrugBank.d766.s1.e4|DDI-DrugBank.d766.s1.e5|null
DDI-DrugBank.d766.s2|DDI-DrugBank.d766.s2.e0|DDI-DrugBank.d766.s2.e1|null
DDI-DrugBank.d766.s2|DDI-DrugBank.d766.s2.e0|DDI-DrugBank.d766.s2.e2|null
DDI-DrugBank.d766.s2|DDI-DrugBank.d766.s2.e1|DDI-DrugBank.d766.s2.e2|null
DDI-DrugBank.d766.s3|DDI-DrugBank.d766.s3.e0|DDI-DrugBank.d766.s3.e1|null
DDI-DrugBank.d766.s3|DDI-DrugBank.d766.s3.e0|DDI-DrugBank.d766.s3.e2|null
DDI-DrugBank.d766.s3|DDI-DrugBank.d766.s3.e0|DDI-DrugBank.d766.s3.e3|null
DDI-DrugBank.d766.s3|DDI-DrugBank.d766.s3.e0|DDI-DrugBank.d766.s3.e4|null
DDI-DrugBank.d766.s3|DDI-DrugBank.d766.s3.e1|DDI-DrugBank.d766.s3.e2|null
DDI-DrugBank.d766.s3|DDI-DrugBank.d766.s3.e1|DDI-DrugBank.d766.s3.e3|null
DDI-DrugBank.d766.s3|DDI-DrugBank.d766.s3.e1|DDI-DrugBank.d766.s3.e4|null
DDI-DrugBank.d766.s3|DDI-DrugBank.d766.s3.e2|DDI-DrugBank.d766.s3.e3|null
DDI-DrugBank.d766.s3|DDI-DrugBank.d766.s3.e2|DDI-DrugBank.d766.s3.e4|null
DDI-DrugBank.d766.s3|DDI-DrugBank.d766.s3.e3|DDI-DrugBank.d766.s3.e4|null
DDI-DrugBank.d454.s0|DDI-DrugBank.d454.s0.e0|DDI-DrugBank.d454.s0.e1|null
DDI-DrugBank.d454.s0|DDI-DrugBank.d454.s0.e0|DDI-DrugBank.d454.s0.e2|null
DDI-DrugBank.d454.s0|DDI-DrugBank.d454.s0.e0|DDI-DrugBank.d454.s0.e3|null
DDI-DrugBank.d454.s0|DDI-DrugBank.d454.s0.e1|DDI-DrugBank.d454.s0.e2|null
DDI-DrugBank.d454.s0|DDI-DrugBank.d454.s0.e1|DDI-DrugBank.d454.s0.e3|null
DDI-DrugBank.d454.s0|DDI-DrugBank.d454.s0.e2|DDI-DrugBank.d454.s0.e3|null
DDI-DrugBank.d454.s2|DDI-DrugBank.d454.s2.e0|DDI-DrugBank.d454.s2.e1|effect
DDI-DrugBank.d454.s4|DDI-DrugBank.d454.s4.e0|DDI-DrugBank.d454.s4.e1|effect
DDI-DrugBank.d124.s1|DDI-DrugBank.d124.s1.e0|DDI-DrugBank.d124.s1.e1|null
DDI-DrugBank.d124.s2|DDI-DrugBank.d124.s2.e0|DDI-DrugBank.d124.s2.e1|null
DDI-DrugBank.d124.s3|DDI-DrugBank.d124.s3.e0|DDI-DrugBank.d124.s3.e1|null
DDI-DrugBank.d124.s9|DDI-DrugBank.d124.s9.e0|DDI-DrugBank.d124.s9.e1|null
DDI-DrugBank.d124.s12|DDI-DrugBank.d124.s12.e0|DDI-DrugBank.d124.s12.e1|null
DDI-DrugBank.d124.s14|DDI-DrugBank.d124.s14.e0|DDI-DrugBank.d124.s14.e1|null
DDI-DrugBank.d124.s14|DDI-DrugBank.d124.s14.e0|DDI-DrugBank.d124.s14.e2|null
DDI-DrugBank.d124.s14|DDI-DrugBank.d124.s14.e0|DDI-DrugBank.d124.s14.e3|null
DDI-DrugBank.d124.s14|DDI-DrugBank.d124.s14.e0|DDI-DrugBank.d124.s14.e4|null
DDI-DrugBank.d124.s14|DDI-DrugBank.d124.s14.e0|DDI-DrugBank.d124.s14.e5|null
DDI-DrugBank.d124.s14|DDI-DrugBank.d124.s14.e1|DDI-DrugBank.d124.s14.e2|null
DDI-DrugBank.d124.s14|DDI-DrugBank.d124.s14.e1|DDI-DrugBank.d124.s14.e3|null
DDI-DrugBank.d124.s14|DDI-DrugBank.d124.s14.e1|DDI-DrugBank.d124.s14.e4|null
DDI-DrugBank.d124.s14|DDI-DrugBank.d124.s14.e1|DDI-DrugBank.d124.s14.e5|null
DDI-DrugBank.d124.s14|DDI-DrugBank.d124.s14.e2|DDI-DrugBank.d124.s14.e3|null
DDI-DrugBank.d124.s14|DDI-DrugBank.d124.s14.e2|DDI-DrugBank.d124.s14.e4|null
DDI-DrugBank.d124.s14|DDI-DrugBank.d124.s14.e2|DDI-DrugBank.d124.s14.e5|null
DDI-DrugBank.d124.s14|DDI-DrugBank.d124.s14.e3|DDI-DrugBank.d124.s14.e4|null
DDI-DrugBank.d124.s14|DDI-DrugBank.d124.s14.e3|DDI-DrugBank.d124.s14.e5|null
DDI-DrugBank.d124.s14|DDI-DrugBank.d124.s14.e4|DDI-DrugBank.d124.s14.e5|null
DDI-DrugBank.d124.s15|DDI-DrugBank.d124.s15.e0|DDI-DrugBank.d124.s15.e1|null
DDI-DrugBank.d124.s15|DDI-DrugBank.d124.s15.e0|DDI-DrugBank.d124.s15.e2|null
DDI-DrugBank.d124.s15|DDI-DrugBank.d124.s15.e1|DDI-DrugBank.d124.s15.e2|null
DDI-DrugBank.d124.s16|DDI-DrugBank.d124.s16.e0|DDI-DrugBank.d124.s16.e1|null
DDI-DrugBank.d124.s16|DDI-DrugBank.d124.s16.e0|DDI-DrugBank.d124.s16.e2|null
DDI-DrugBank.d124.s16|DDI-DrugBank.d124.s16.e0|DDI-DrugBank.d124.s16.e3|null
DDI-DrugBank.d124.s16|DDI-DrugBank.d124.s16.e0|DDI-DrugBank.d124.s16.e4|null
DDI-DrugBank.d124.s16|DDI-DrugBank.d124.s16.e0|DDI-DrugBank.d124.s16.e5|null
DDI-DrugBank.d124.s16|DDI-DrugBank.d124.s16.e1|DDI-DrugBank.d124.s16.e2|null
DDI-DrugBank.d124.s16|DDI-DrugBank.d124.s16.e1|DDI-DrugBank.d124.s16.e3|null
DDI-DrugBank.d124.s16|DDI-DrugBank.d124.s16.e1|DDI-DrugBank.d124.s16.e4|null
DDI-DrugBank.d124.s16|DDI-DrugBank.d124.s16.e1|DDI-DrugBank.d124.s16.e5|null
DDI-DrugBank.d124.s16|DDI-DrugBank.d124.s16.e2|DDI-DrugBank.d124.s16.e3|null
DDI-DrugBank.d124.s16|DDI-DrugBank.d124.s16.e2|DDI-DrugBank.d124.s16.e4|null
DDI-DrugBank.d124.s16|DDI-DrugBank.d124.s16.e2|DDI-DrugBank.d124.s16.e5|null
DDI-DrugBank.d124.s16|DDI-DrugBank.d124.s16.e3|DDI-DrugBank.d124.s16.e4|null
DDI-DrugBank.d124.s16|DDI-DrugBank.d124.s16.e3|DDI-DrugBank.d124.s16.e5|null
DDI-DrugBank.d124.s16|DDI-DrugBank.d124.s16.e4|DDI-DrugBank.d124.s16.e5|null
DDI-DrugBank.d124.s17|DDI-DrugBank.d124.s17.e0|DDI-DrugBank.d124.s17.e1|null
DDI-DrugBank.d124.s17|DDI-DrugBank.d124.s17.e0|DDI-DrugBank.d124.s17.e2|null
DDI-DrugBank.d124.s17|DDI-DrugBank.d124.s17.e0|DDI-DrugBank.d124.s17.e3|null
DDI-DrugBank.d124.s17|DDI-DrugBank.d124.s17.e0|DDI-DrugBank.d124.s17.e4|null
DDI-DrugBank.d124.s17|DDI-DrugBank.d124.s17.e1|DDI-DrugBank.d124.s17.e2|null
DDI-DrugBank.d124.s17|DDI-DrugBank.d124.s17.e1|DDI-DrugBank.d124.s17.e3|null
DDI-DrugBank.d124.s17|DDI-DrugBank.d124.s17.e1|DDI-DrugBank.d124.s17.e4|null
DDI-DrugBank.d124.s17|DDI-DrugBank.d124.s17.e2|DDI-DrugBank.d124.s17.e3|null
DDI-DrugBank.d124.s17|DDI-DrugBank.d124.s17.e2|DDI-DrugBank.d124.s17.e4|null
DDI-DrugBank.d124.s17|DDI-DrugBank.d124.s17.e3|DDI-DrugBank.d124.s17.e4|null
DDI-DrugBank.d124.s18|DDI-DrugBank.d124.s18.e0|DDI-DrugBank.d124.s18.e1|null
DDI-DrugBank.d124.s18|DDI-DrugBank.d124.s18.e0|DDI-DrugBank.d124.s18.e2|null
DDI-DrugBank.d124.s18|DDI-DrugBank.d124.s18.e0|DDI-DrugBank.d124.s18.e3|null
DDI-DrugBank.d124.s18|DDI-DrugBank.d124.s18.e1|DDI-DrugBank.d124.s18.e2|null
DDI-DrugBank.d124.s18|DDI-DrugBank.d124.s18.e1|DDI-DrugBank.d124.s18.e3|null
DDI-DrugBank.d124.s18|DDI-DrugBank.d124.s18.e2|DDI-DrugBank.d124.s18.e3|null
DDI-DrugBank.d124.s19|DDI-DrugBank.d124.s19.e0|DDI-DrugBank.d124.s19.e1|null
DDI-DrugBank.d124.s19|DDI-DrugBank.d124.s19.e0|DDI-DrugBank.d124.s19.e2|null
DDI-DrugBank.d124.s19|DDI-DrugBank.d124.s19.e0|DDI-DrugBank.d124.s19.e3|null
DDI-DrugBank.d124.s19|DDI-DrugBank.d124.s19.e1|DDI-DrugBank.d124.s19.e2|null
DDI-DrugBank.d124.s19|DDI-DrugBank.d124.s19.e1|DDI-DrugBank.d124.s19.e3|null
DDI-DrugBank.d124.s19|DDI-DrugBank.d124.s19.e2|DDI-DrugBank.d124.s19.e3|null
DDI-DrugBank.d124.s22|DDI-DrugBank.d124.s22.e0|DDI-DrugBank.d124.s22.e1|null
DDI-DrugBank.d124.s22|DDI-DrugBank.d124.s22.e0|DDI-DrugBank.d124.s22.e2|null
DDI-DrugBank.d124.s22|DDI-DrugBank.d124.s22.e1|DDI-DrugBank.d124.s22.e2|null
DDI-DrugBank.d124.s23|DDI-DrugBank.d124.s23.e0|DDI-DrugBank.d124.s23.e1|null
DDI-DrugBank.d124.s23|DDI-DrugBank.d124.s23.e0|DDI-DrugBank.d124.s23.e2|null
DDI-DrugBank.d124.s23|DDI-DrugBank.d124.s23.e0|DDI-DrugBank.d124.s23.e3|null
DDI-DrugBank.d124.s23|DDI-DrugBank.d124.s23.e1|DDI-DrugBank.d124.s23.e2|null
DDI-DrugBank.d124.s23|DDI-DrugBank.d124.s23.e1|DDI-DrugBank.d124.s23.e3|null
DDI-DrugBank.d124.s23|DDI-DrugBank.d124.s23.e2|DDI-DrugBank.d124.s23.e3|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e0|DDI-DrugBank.d124.s26.e1|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e0|DDI-DrugBank.d124.s26.e2|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e0|DDI-DrugBank.d124.s26.e3|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e0|DDI-DrugBank.d124.s26.e4|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e0|DDI-DrugBank.d124.s26.e5|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e0|DDI-DrugBank.d124.s26.e6|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e0|DDI-DrugBank.d124.s26.e7|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e0|DDI-DrugBank.d124.s26.e8|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e0|DDI-DrugBank.d124.s26.e9|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e0|DDI-DrugBank.d124.s26.e10|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e0|DDI-DrugBank.d124.s26.e11|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e0|DDI-DrugBank.d124.s26.e12|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e0|DDI-DrugBank.d124.s26.e13|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e0|DDI-DrugBank.d124.s26.e14|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e0|DDI-DrugBank.d124.s26.e15|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e0|DDI-DrugBank.d124.s26.e16|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e1|DDI-DrugBank.d124.s26.e2|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e1|DDI-DrugBank.d124.s26.e3|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e1|DDI-DrugBank.d124.s26.e4|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e1|DDI-DrugBank.d124.s26.e5|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e1|DDI-DrugBank.d124.s26.e6|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e1|DDI-DrugBank.d124.s26.e7|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e1|DDI-DrugBank.d124.s26.e8|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e1|DDI-DrugBank.d124.s26.e9|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e1|DDI-DrugBank.d124.s26.e10|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e1|DDI-DrugBank.d124.s26.e11|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e1|DDI-DrugBank.d124.s26.e12|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e1|DDI-DrugBank.d124.s26.e13|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e1|DDI-DrugBank.d124.s26.e14|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e1|DDI-DrugBank.d124.s26.e15|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e1|DDI-DrugBank.d124.s26.e16|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e2|DDI-DrugBank.d124.s26.e3|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e2|DDI-DrugBank.d124.s26.e4|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e2|DDI-DrugBank.d124.s26.e5|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e2|DDI-DrugBank.d124.s26.e6|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e2|DDI-DrugBank.d124.s26.e7|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e2|DDI-DrugBank.d124.s26.e8|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e2|DDI-DrugBank.d124.s26.e9|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e2|DDI-DrugBank.d124.s26.e10|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e2|DDI-DrugBank.d124.s26.e11|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e2|DDI-DrugBank.d124.s26.e12|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e2|DDI-DrugBank.d124.s26.e13|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e2|DDI-DrugBank.d124.s26.e14|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e2|DDI-DrugBank.d124.s26.e15|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e2|DDI-DrugBank.d124.s26.e16|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e3|DDI-DrugBank.d124.s26.e4|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e3|DDI-DrugBank.d124.s26.e5|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e3|DDI-DrugBank.d124.s26.e6|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e3|DDI-DrugBank.d124.s26.e7|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e3|DDI-DrugBank.d124.s26.e8|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e3|DDI-DrugBank.d124.s26.e9|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e3|DDI-DrugBank.d124.s26.e10|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e3|DDI-DrugBank.d124.s26.e11|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e3|DDI-DrugBank.d124.s26.e12|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e3|DDI-DrugBank.d124.s26.e13|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e3|DDI-DrugBank.d124.s26.e14|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e3|DDI-DrugBank.d124.s26.e15|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e3|DDI-DrugBank.d124.s26.e16|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e4|DDI-DrugBank.d124.s26.e5|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e4|DDI-DrugBank.d124.s26.e6|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e4|DDI-DrugBank.d124.s26.e7|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e4|DDI-DrugBank.d124.s26.e8|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e4|DDI-DrugBank.d124.s26.e9|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e4|DDI-DrugBank.d124.s26.e10|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e4|DDI-DrugBank.d124.s26.e11|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e4|DDI-DrugBank.d124.s26.e12|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e4|DDI-DrugBank.d124.s26.e13|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e4|DDI-DrugBank.d124.s26.e14|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e4|DDI-DrugBank.d124.s26.e15|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e4|DDI-DrugBank.d124.s26.e16|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e5|DDI-DrugBank.d124.s26.e6|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e5|DDI-DrugBank.d124.s26.e7|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e5|DDI-DrugBank.d124.s26.e8|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e5|DDI-DrugBank.d124.s26.e9|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e5|DDI-DrugBank.d124.s26.e10|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e5|DDI-DrugBank.d124.s26.e11|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e5|DDI-DrugBank.d124.s26.e12|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e5|DDI-DrugBank.d124.s26.e13|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e5|DDI-DrugBank.d124.s26.e14|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e5|DDI-DrugBank.d124.s26.e15|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e5|DDI-DrugBank.d124.s26.e16|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e6|DDI-DrugBank.d124.s26.e7|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e6|DDI-DrugBank.d124.s26.e8|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e6|DDI-DrugBank.d124.s26.e9|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e6|DDI-DrugBank.d124.s26.e10|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e6|DDI-DrugBank.d124.s26.e11|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e6|DDI-DrugBank.d124.s26.e12|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e6|DDI-DrugBank.d124.s26.e13|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e6|DDI-DrugBank.d124.s26.e14|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e6|DDI-DrugBank.d124.s26.e15|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e6|DDI-DrugBank.d124.s26.e16|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e7|DDI-DrugBank.d124.s26.e8|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e7|DDI-DrugBank.d124.s26.e9|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e7|DDI-DrugBank.d124.s26.e10|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e7|DDI-DrugBank.d124.s26.e11|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e7|DDI-DrugBank.d124.s26.e12|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e7|DDI-DrugBank.d124.s26.e13|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e7|DDI-DrugBank.d124.s26.e14|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e7|DDI-DrugBank.d124.s26.e15|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e7|DDI-DrugBank.d124.s26.e16|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e8|DDI-DrugBank.d124.s26.e9|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e8|DDI-DrugBank.d124.s26.e10|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e8|DDI-DrugBank.d124.s26.e11|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e8|DDI-DrugBank.d124.s26.e12|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e8|DDI-DrugBank.d124.s26.e13|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e8|DDI-DrugBank.d124.s26.e14|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e8|DDI-DrugBank.d124.s26.e15|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e8|DDI-DrugBank.d124.s26.e16|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e9|DDI-DrugBank.d124.s26.e10|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e9|DDI-DrugBank.d124.s26.e11|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e9|DDI-DrugBank.d124.s26.e12|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e9|DDI-DrugBank.d124.s26.e13|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e9|DDI-DrugBank.d124.s26.e14|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e9|DDI-DrugBank.d124.s26.e15|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e9|DDI-DrugBank.d124.s26.e16|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e10|DDI-DrugBank.d124.s26.e11|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e10|DDI-DrugBank.d124.s26.e12|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e10|DDI-DrugBank.d124.s26.e13|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e10|DDI-DrugBank.d124.s26.e14|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e10|DDI-DrugBank.d124.s26.e15|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e10|DDI-DrugBank.d124.s26.e16|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e11|DDI-DrugBank.d124.s26.e12|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e11|DDI-DrugBank.d124.s26.e13|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e11|DDI-DrugBank.d124.s26.e14|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e11|DDI-DrugBank.d124.s26.e15|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e11|DDI-DrugBank.d124.s26.e16|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e12|DDI-DrugBank.d124.s26.e13|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e12|DDI-DrugBank.d124.s26.e14|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e12|DDI-DrugBank.d124.s26.e15|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e12|DDI-DrugBank.d124.s26.e16|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e13|DDI-DrugBank.d124.s26.e14|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e13|DDI-DrugBank.d124.s26.e15|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e13|DDI-DrugBank.d124.s26.e16|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e14|DDI-DrugBank.d124.s26.e15|null
DDI-DrugBank.d124.s26|DDI-DrugBank.d124.s26.e14|DDI-DrugBank.d124.s26.e16|null
